,Song Title,Song Lyrics
34,jealous,"im in my penthouse half naked i cooked this meal for you naked so where the hell you at theres just one shot left of this drink in this glass dont make me break it wish that you were me so you could feel this feeling  i never broke one promise and i know that im not honest now you got me yelling thats because im jealous  if youre keeping your promise, im keeping mine ooo im jealous if youre keeping your promise, im keeping mine ooo im jealous  sometimes i wanna walk in your shoes do the type of things that i never ever do so i take one look in the mirror and say to myself baby girl you cant survive like this  take it one step further freakum dress out of my closet yonce filling out this skirt i look damn good i aint lost it and i aint missed a beat boy you been hanging out at night im staying out until tomorrow dancing on them tables aint got no cares no sorrows  i ran into my ex say whats up to his bestest now we reminiscing how we used to flex in texas dont be jealous  if youre keeping your promise, im keeping mine ooo im jealous if youre keeping your promise, im keeping mine  sometimes i wanna walk in your shoes do the type of things that ill never ever do i take one look in the mirror and say to myself baby girl you cant survive like this, no  and i hate you for your lies and your covers and i hate us for making good love to each other and i love making you jealous but dont judge me and i know that im being hateful but that aint nothing that aint nothing im just jealous im just human dont judge me  if youre keeping your promise, im keeping mine ooo im jealous if youre keeping your promise, im keeping mine"
35,superpower,"[verse 1:] when the palm of my two hands, hold each other that feels different from when your hands are in mine thats just the way it is, hmmm and when my voice is screaming out, to my own ears, uh that feels different from when i hear yours now thats just the way it is and when im standing in this mirror after all these years what im viewing is a little different from what your eyes show ya i guess i done seen myself before ya moving forward  [pre-hook: beyonce & frank ocean] (super power) a subtle power (super power) a tough love (super power) uh huh, like a shark (super power) ooh, like a bear a tough love  [hook: beyonce & frank ocean] and i thought the world would revolve i thought the world would revolve, without us without us, without us, without us but nothing i know could slow us down they couldnt slow us down i thought i could live without you hey, hey cause nothing i know can break us down they cant break us down  [verse 2:] and just like you i cant be scared and just like you i hope im spared but its tough love i know you feel it in the air even the babies know its there tough love (super power) the laws of the world tell us what goes sky and what falls its a super power (super power) the laws of the world never stopped us once cause together we got plenty super power  [pre-hook: beyonce & frank ocean] (super power) a subtle power (super power) a tough love (super power) uh huh, like a shark (super power) ooh, too much to bear  [hook: beyonce & frank ocean] and i thought the world would revolve i thought the world would revolve, without us without us, without us, without us but nothing i know could slow us down they couldnt slow us down i thought i could live without you but together we got plenty power but nothing i know couldnt break us down they cant break us down  [outro: x4] yes we can couldnt break us down they couldnt break us down"
36,drunkinloveremix,"[intro - danyã¨l waro:] kinm in kalot otã© mandela twã© la pa mã¨t dan la gã¨l banna twã© la pã¨t amwin  [intro - beyonce:] we be all night  [verse 1 - kanye west:] woo! you will never need another lover woo! cause you a milf and im a motherfucker told you give the drummer some, now the drummer cummin im pa rum pa pum pumin all on your stomach yeah, tonight i see some super freaky hoes that could go from bein stripper to a super c.e.o i dont know the way you do it, but you do it to me though and you always told your girlfriends you need you a tv show now you got your own money, you dont need nobody else but as far as handlin all that ass, i think you gon need some help let me remind you, you got a, you got a great future behind you you gotta tell me what we tryna do i aint no pastor, dont do missionary i know good pussy when i see it, im a visionary i know them haters talkin, always had us very wary yup! on the 35th of nevuary yup! you love the way im turnt after all the money you earned, still show daddy what you learned that cowgirl, you reverse that cowgirl you reverse, you reverse, and i impregnated your mouth, girl, ooooh thats when i know you could be my spouse, girl we fuckin all over the house, girl, we just messed up a brand new couch, girl you aint on site then you on skype i put you on that bike, you bound, girl we too wild, wont turn down we drunk in love, fuck them  [verse 2 - beyonce:] ive been drinking, ive been drinking i get filthy when that liquor get into me ive been thinking, ive been thinking why cant i keep my fingers off it, baby? i want you, na-na why cant i keep my fingers off it, baby? i want you, na-na cigars on ice, cigars on ice feeling like an animal with these cameras all in my grill flashing lights, flashing lights you got me faded, faded-faded, baby, i want you, na-na cant keep your eyes off my fatty, daddy, i want you, na-na drunk in love, i want you  [bridge:] we woke up in the kitchen saying ""how the hell did this shit happen?"" oh baby, drunk in love we be all night, last thing i remember is our beautiful bodies grinding up in the club, drunk in love  [hook:] we be all night, love, love we be all night, love, love  [verse 3 - beyonce:] we be all night, and everything all right no complaints from my body, so fluorescent under these lights boy, im drinking, park it in my lot, 7-11 im rubbing on it, rub-rubbing, if you scared, call that reverend boy, im drinking, get my brain right, armand de brignac, gangster wife louis sheets, he sweat it out like washrags, he wear it up boy, im drinking, im singing on the mic til my voice hoarse then i fill the tub up halfway then ride it with my surfboard surfboard, surfboard graining on that wood, graining, graining on that wood im swerving on that, swerving, swerving on that big body benz serving all this, swerve, surfing all in this good-good  [bridge]  [hook]  [verse 4 - jay-z:] hold up, that dussã© is the shit if i do say so myself if i do say so myself, if i do say so myself hold up, stumble all in the house, time to back up all that mouth that you had all in the car, talking bout you the baddest bitch thus far talking bout you be repping that third, i wanna see all that shit that i heard know i sling clint eastwood, i hope that you can handle this curve, uh foreplay in the foyer, fucked up my warhol slid the panties right to the side, aint got the time to take draws off on site, catch a charge i might beat the box up like mike in 97 ill bite im ike turner, turn up, baby, no, i dont play now eat the cake, anna mae i said, ""eat the cake, anna mae!"" im nice, for yall to reach these heights you gon need g3, 4, 5, 6 flights sleep tight, we sex again in the morning your breastases is my breakfast, we going in, we be all night  [hook]  [bridge:] im never tired, never tired i been sippin, thats the only thing thats been keeping me on fire, we on fire didnt mean to spill that liquor all on my attire ive been drinking, watermelon i want your body right here, daddy, i want you, right now cant keep your eyes off my fatty, daddy, i want you  [hook]"
37,getmebodiedextendedremix,"[intro] 9,4,81 bday  [verse 1:] mission one ima put this on when he see me in the dress ima get me some (hey) mission two gotta make that call tell him get the bottles poppin when they play my song (hey) mission three got my three best friends like we do it all the time we gone do it again (hey) mission four got the vintage rolls drop a couple hundreds tell him leave it at the door  [pre-chorus:] i aint worried doing me tonight a little sweat aint never hurt nobody while you all standin on the wall im the one tonight getting bodied, getting bodied, getting bodied, getting bodied getting bodied want my body wont you get me bodied you want my body wont you get me bodied (hey)  [chorus:] can you get me bodied? i wanna be myself tonight can you get me bodied? i wanna be myself tonight wont you sing my body? i want to let it out tonight wanna party, wanna dance, wanna be myself tonight, me bodied  [verse 2:] mission five skip to the front of the line let me fix my hair up fore i go inside (hey) mission six gotta check these chicks cause you know they gone block when i take these flicks (hey) mission seven gotta make my rounds given eyes to the guys now i think i found him (hey) mission eight now we conversate and we can skip small talk lets get right to the chase (hey)  [pre-chorus]  you should see my body i gotta know enough to know if you can get me bodied im kinda tight, im feeling right enough to see somebody i wanna let it off tonight wanna dance, wanna party wanna be myself tonight  baby all i want is to let it go aint no worries, oh we can dance all night get me bodied that means come closer to me while we grind to the beat and your bodys touching my body all i need is to let it be aint no worry, no boy dance with me feel my body dont stop just come closer to me while we grind to the beat with your body touching my body  get somebody aint no shame cause i gotta get mine i swing my hair, kick off my shoes come her boy let me work on you  [pre-chorus]  [bridge] ladies on the floor, all my ladies on the floor if you ready get it ready lets get it and drop it. drop down low and sweep the floor wit it drop drop down low and sweep the floor wit it, drop down low and sweep the floor wit it drop drop down low and sweep the floor wit it. do the uh oh do the uh oh do the uh oh uh oh uh oh oh no no, uh oh do the uh oh do the uh oh uh oh uh oh oh no no. pat your weaves ladies pat pat pat your weaves ladies watch it while he check up on it, pat your weaves ladies pat pat pat your weaves ladies watch it while he check up on it. tick tick tick tick fight, now tick tick tick tick tick tick fight, now tick tick tick tick fight, now tick tick tick tick tick tick fight. now pose for the camera now flick flick flick, pose for the camera now flick flick flick, pose for the camera now flick flick flick, pose for the camera now flick flick flick. do an old school dance an old school dance an old school dance do an old school, do an old school dance an old school dance an old school dance get old school. stop now cool off cool off, cool off cool off, drop and cool off cool off cool off cool off. wind it back girl, wind it back girl make your hair touch the floor wine it back, wind it back girl, wind it back girl make your hair touch the floor wine it back. drop to your knees arch your back girl shake shake it like that alley cat, drop drop to your knees arch your back girl shake shake it like that alley cat. shake ya derriere in them dereonâs shake shake ya diary air in the house of dereon shake ya derriere in them dereonâs shake shake ya diary air in the house of dereon do the scissor leg, touch ya heels touch ya toes do the scissor leg, touch ya heels touch ya toes do the scissor leg, touch ya heels touch ya toes do the scissor leg, touch ya heels touch ya toes do the naomi campbell walk, naomi campbell walk walk across the room like naomi campbell do the naomi campbell walk, naomi campbell walk walk across the room like naomi campbell snap for the kids, snap for the kids snap in a circle three times snap for the kids, snap for the kids snap in a circle three times i touch ya body, while ya touch my body we touching bodies tonight we getting bodied i touch ya body,while ya touch my body we touching bodies tonight we getting bodied gettinâ bodied (gettinâ bodied) gettinâ bodied (gettinâ bodied) gettinâ bodied (iâm the only one tonight) gettinâ bodied (gettinâ bodied) want my body (get me body) wonât ya get me body (get me body) you want my body (iâm the only one tonight) wonât ya get me bodied (get me bodied) hey"
38,danceforyou,"i just wanna show you how much i appreciate you, yes wanna show you how much im dedicated to you, yes wanna show you how much i will forever be true, yes wanna show you how much you got your girl feeling good, oh, yes wanna show you how much, how much you understood, oh, yes wanna show you how much i value what you say not only are you loyal, youre patient with me babe, oh, yes wanna show you how much i really care about your heart wanna show you how much i hate being apart, oh, yes show you, show you, show you, til you through with me i wanna keep it how it is so you can never say how it used to be!  loving you is really all thats on my mind and i cant help but to think about it day and night i wanna make that body rock sit back and watch!  tonight im gonna dance for you, oh-oh tonight im gonna dance for you, oh-oh tonight im gonna put my body on your body boy i like it when you watch me, ah tonight its going down ill be rocking on my babe, rocking, rocking on my babe swirlin on my babe, swirlin, swirlin on my babe baby let me put my body on your body promise not to tell nobody cause its bout to go down!  youll never need 2 cause i will be your number 1 them other chicks are superficial but i know you know im the one thats why im all into you cause i can recognize that you know that thats why im backing this thing back pop-popping this thing back drop, drop, drop-dropping this thing back this is for the time you gave me flowers for the world that is ours for the mula, for the power of love and no i wont never ever e-ever give you up and i wanna say thank you in case i dont thank you enough a woman in the street and a freak in the you know what sit back, sit back, its the pre-game show daddy you know whats up!  loving you is really all thats on my mind and i cant help but to think about it day and night i wanna make that body rock sit back and watch!  tonight im gonna dance for you, oh-oh tonight im gonna dance for you, oh-oh tonight im gonna put my body on your body boy i like it when you watch me, ah tonight its going down ill be rocking on my babe, rocking, rocking on my babe ill be swirlin on my babe, swirlin, swirlin on you babe im gonna put my body on your body promise not to tell nobody cause its about to go down!  imma take this time to show you how much you mean to me cause you are all i need no money can emphasize or describe the love thats in between the lines boy look into my eyes when im grinding on you, this is beyond sex boy im high on you, and if its real then you know how i feel rocking on you, babe, rocking, rocking, on you, babe swirling on you, babe in my mind all i can think about is a frame for our future and the pictures of the past and a chance to make this love last, oh, oh  tonight im gonna dance for you, oh-oh tonight im gonna dance for you, oh-oh tonight im gonna put my body on your body boy i like it when you watch me, ah tonight its going down ill be rocking on my babe, rocking, rocking on my babe ill be swirlin on my babe, swirlin, swirlin on you babe i wanna put my body on your body promise not to tell nobody cause its about to go down, oh!  watch me pop it, pop it, p-p-p-p-pop it for you baby drop it, drop it, drop it, drop it for you baby watch it, watch it, watch it, watch me throw it baby wanna make that body rock sit back and watch! me pop it, pop it, p-p-p-p-pop it for you baby drop it, drop it, drop it, drop it for you baby watch it, watch it, watch it, watch me throw it baby wanna make that body rock sit back and watch!  yes yes yes oh, yes oh, yes yes yes oh, yes"
39,if,"hes always laughing and flirting with me and you act like you dont even care as a matter of fact youve been real distant lately acting like im not even there he says that you dont deserve a girl like me im starting to think that hes right baby  if you let him take me from you i guess i finally see if you let him take me from you you never wanted me let this happen and it proves that your love was never true if you let him take me from you (baby) if you let him take me from you  why is that when we go out out together as one big crew i try to chill with you dance or whatever and your homeboys more interested than you he pays more attention to me than you lately im tempted to pay attention too baby  if you let him take me from you i guess i finally see if you let him take me from you you never wanted me let this happen and it proves that your love was never true if you let him take me from you (baby) if you let him take me from you  boy when i try to show some affection to you you act like you got better things to do when you want some loving that`s when it`s cool but baby boy im not a fool  if you let him take me from you i guess i finally see if you let him take me from you you never wanted me (wanted me) let this happen and it proves (no no) that your love was never true (no no) if you let him take me from you  (how could you let him take your woman baby) if you let him take me from you (are you gonna let him take me from you?)  if you let him take me from you i guess i finally see if you let him take me from you no, no, you never wanted me let this happen and it proves (just let me go) that your love was never true (let me go) if you let him take me from you (just let me know) baby if you let him take me from you if you let him take me from you"
40,ghosthaunted,"[intro: presenter] the winner is beyonce knowles female pop vocalist!  [intro:] i would like to thank the judges for picking me my parents who i love i love you houston  [verse 1:] and ive been drifting off of knowledge cat-calls on cat-walks, man these women getting solemn i could sing a psalm for a solomon or salamander we took a flight at midnight and now my mind cant help but wander how come? spoon-fed pluralized eyes to find the beaches in the forest when im looking off the edge, i preach my gut it cant help but ignore it im climbing up the walls cause all the shit i hear is boring all the shit i do is boring all these record labels boring i dont trust these record labels im touring all these people on the planet working 9 to 5, just to stay alive the 9 to 5, just to stay alive the 9 to 5, just to stay alive the 9 to 5, just to stay alive the 9 to 5, just to stay alive the 9 to 5, just to stay alive the 9 to 5, just to stay alive all the people on the planet working 9 to 5 just to stay alive how come?  what goes up, ghost around ghost around around around around what goes up, ghost around ghost around around around around  ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und ah-rou-ou-und  soul not for sale probably wont make no money off this, oh well reap what you sow perfection is so... mm  [verse 2:] its what you do its what you see i know if im haunting you you must be haunting me  its where we go its where well be i know if im on to you, im on to you on to you, you must be on to me  my haunted lungs ghost in the sheets i know if im haunting you you must be haunting me  my wicked tongue where will it be? i know if im on to you im on to you on to you, im on to you on to you, you must be on to me  you want me? i walk down the hallway youre lucky? the bedrooms the wrong way slap me! im pinned to the doorway kiss, bite, foreplay  [verse 3:] my haunted lungs ghost in the sheets i know if im haunting you you must be haunting me  my wicked tongue where will it be i know if im on to you you must be on to me  its what we see i know if im haunting you you must be haunting me its where we go its where well be i know if im on to you, im onto you onto you, im on to you onto you, you must be onto me you must be on to me (on to you, im on to you) you must be on to me (on to you, im on to you) you must be on to me (on to you, im on to you)  [outro:] me (on to you, im on to you) me (on to you, im on to you) me (on to you, im on to you) me (on to you, im on to you) me (on to you, im on to you)"
41,greenlight,"give it to mama give it give it give it to mama mama (oh) give it give it to mama mama  for some strange reason (huh) you done pleasing me like its ok (oh oh oh) like a perm thats been left too long its like a burn the result is it just wont take (oh oh oh) i can see now its all coming so clear to me now i can see misinterpreted all of my naiveness was just thinking if i had no you than i cant do my stock just went up over 2 million  so if you want to (uh uh huh uh uh) you got the green light (uh uh huh uh uh) so if you want to (uh uh huh uh uh) you got the green light (uh uh huh uh uh) so if you want to (want to, want to) (uh uh huh uh uh) you got the green light (uh uh huh uh uh) so if you want to (uh uh huh uh uh) you got the green light (uh uh huh uh uh) give it to mama  go go go go go go go go go go go go go go red light (ah) green light!  some sillies say i should be trophied cause it gets no stronger (oh oh oh) ladies you all know (yea girl you all know) this pimp ish gets no older is that a threat (whats another threat) yep! (thats another threat) im immune, you cant get colder you got the green light (whoa) youre the king, right? (whoa) you holding up traffic green means go!!  go go go go go go go go go go go go go go red light (i said youre holding up traffic green means go!!) green light!  so if you want to (uh uh huh uh uh) you got the green light (you got the green light babe!) (uh uh huh uh uh) so if you want to (go!) (uh uh huh uh uh) you got the green light (ooh!) (uh uh huh uh uh) so if you want to (want to, want to) (uh uh huh uh uh) you got the green light (uh uh huh uh uh) so if you want to (uh uh huh uh uh) you got the green light (uh uh huh uh uh) give it to mama  [sung over gos] oh no problem you can go im gonna find somebody else its alright ill move along you want a green light...so you can...go!! (go, go, go)  go go go go go go go go go go go go go go red light (ah) green light!  i gave all i could give my love, my heart (my heart) now were facing the end (the end) of what you did from the start my love  [instrument solo]  (youre holding up traffic, green means go!!)  so if you want to (whoa oh oh!) (uh uh huh uh uh) you got the green light (whoa oh oh!) (uh uh huh uh uh) so if you want to (whoa oh!) (uh uh huh uh uh) you got the green light (whoa oh oh!) (uh uh huh uh uh) so if you want to (go!) (want to, want to) (uh uh huh uh uh) you got the green light (go go go go!) (uh uh huh uh uh) so if you want to (uh uh huh uh uh) you got the green light (uh uh huh uh uh) give it to mama  [sung over gos] oh no problem you can go ill go find somebody else its alright ill move along you want a green light...so you can...go!! (go, go, go)  go go go go go go go go go go go go go go red light (ah) green light!"
42,iwashere,"i wanna leave my footprints on the sands of time know there was something that, meant something that i left behind when i leave this world, ill leave no regrets leave something to remember, so they wont forget  i was here i lived, i loved i was here i did, ive done everything that i wanted and it was more than i thought it would be i will leave my mark so everyone will know i was here  i wanna say i lived each day, until i die and know that i meant something in somebodys life the hearts i have touched will be the proof that i leave that i made a difference, and this world will see  i was here i lived, i loved i was here i did, ive done everything that i wanted and it was more than i thought it would be i will leave my mark so everyone will know  i was here i lived, i loved i was here i did, ive done everything that i wanted and it was more than i thought it would be i will leave my mark so everyone will know i was here  i just want them to know that i gave my all, did my best brought someone some happiness left this world a little better just because  i was here  i was here i lived, i loved i was here i did, ive done everything that i wanted and it was more than i thought it would be i wanna leave my mark so everyone will know  i was here i lived (i lived), i loved i was here i did (i did), ive done i was here i lived (i lived), i loved (i loved) i was here (oh) i did, ive done  i was here"
43,videophoneextendedremix,"[beyonce] shawty, what yo name is?  them hustlers keep on talkin they like the way im walkin you saying that you want me so press record, ill let you film me  on your video phone, make a cameo tape me on your video phone, i can handle you watch me on your video phone, on your video, video if you want me you can watch me on your video phone  i love how you approach me fresh white with your pants hangin grown man low everything you sayin soundin good to me no need to convince me anymore  swag up, its right, one blade, its tight and i smell your cologne in the air baby you doin somethin right you just cancelled every other man here  you say you like my bag and the color of my nails you can see that i got it goin on i wanna make sure you remember me so ima leave my number on your video phone  i got no time for frontin i know just what im wantin if its gonna be you and me when i call, they better see me on your video screen  them hustlers keep on talkin they like the way im walkin you saying that you want me so press record, ill let you film me  on your video phone, make a cameo tape me on your video phone, i can handle you watch me on your video phone, on your video, video if you want me you can watch me on your video phone  [lady gaga] you my phone star and im happy when my lights flashin cause you on my receiver hubba, hubba honey, baby is so sexy that he should win an oscar  and when you miss me, just remember that i always got you with me ill be your gene, youll be my brando ima put you in my move if you think that you can handle (can you handle it?)  i know you like that (can you handle it?) turn you into a star, i got it like that (can you handle it?) baby dont fight it, (tell em, b), cause when i miss yo call (can you handle it?) i hit you right back on my video phone (you like what you see?)  them hustlas like my fashion (you wanna video me?) they like the way im walkin (you like what you see?) you sayin that you want me (go on and video me) so press record, ill let you film me  on your video phone, make a cameo tape me on your video phone, i can handle you watch me on your video phone, on your video, video if you want me you can watch me on your video phone  can you handle it? can you handle it? (tell em, b) can you handle it? can you handle it?  you like what you see? (can you handle it?) you wanna video me? (can you handle it?) you like what you see? (can you handle it?) go on and video me (can you handle it?) you like what you see? (can you handle it?) you wanna video me?  you know them gs, they be hollerin, specially them hot ones brooklyn, atlanta, houston, to new orleans when they see me, they be like ""yo b, let me call you"" you breakin my focus, boy, you cute and you ballin  you like it when i shake it? shawty on a mission, what yo name is? what, you want me naked? if you likin this position you can tape it on your video phone  hustla keep on talkin you like the way its poppin you sayin that you want me press record and baby, film me  on your video phone, make a cameo (film me) tape me on your video phone, i can handle you (film me) watch me on your video phone, on your video, video (film me) if you want me you can watch me on your video phone  uh, uh, uh, ah, uh uh, uh, uh, ah, uh (if you want me you can watch me on your) video phone"
44,forward,"forward best foot first just in case when we made our way til now its time to listen, its time to fight forward now were going to hold doors open for a while now we can be open for a while forward i love you more than this job, please dont work for me forward go back to your sleep in your favorite spot just next to me forward, forward"
45,videophone,"shorty, what yo name is?  uh uh them hustlers keep on talkin uh uh they like the way im walking uh uh youre saying that you want b? so press ""record"", ill let you film me  on your video phone make a cameo tape me on your video phone i can handle you watch me on your video phone on your video, video if you want me you can watch me on your video phone  i love how you approach me fresh white, with your pants hangin grown-man low everything you sayin soundin good to me no need to convince me anymore  swag up, its bright one blade, its tight and i smell your cologne in the air baby, youre doin something right you just canceled every other man here  you say you like my bag and the color of my nails you can see that i got it goin on i wanna make sure you remember me so imma leave my number on your video phone  uh uh i got no time for frontin uh uh i know just what im wanting uh uh if its gonna be you and me? when i call they better see me on your video screen  uh uh them hustlers keep on talkin uh uh they like the way im walking uh uh youre saying that you want b? so press ""record"", ill let you film me  on your video phone make a cameo tape me on your video phone i can handle you watch me on your video phone on your video, video if you want me you can watch me on your video phone  youre a cutie you should let me put you in my movies do shoot into a star of your own hit song we can shoot the video right here on my cellphone  i never seen a smile so pretty i need to know ill always have you with me so, take your picture on my video phone you can pick your own song and you could be the only one....  i know you like that turn you into a star? i got it like that, like that, baby, dont fight it cause when i miss your call i hit you right back on my video phone  uh uh them hustlers keep on talkin uh uh they like the way im walking uh uh youre saying that you want b? so, press ""record"", ill let you film me  on your video phone make a cameo tape me on your video phone i can handle you watch me on your video phone on your video, video if you want me you can watch me on your video phone  you know them gs, they be hollerin specially them hot ones brooklyn, atlanta, houston to new orleans when they see me they be like, ""yo, b, let me call you!"" you breakin my focus, boy you cute and you ballin  you like it when i shake it? shorty on a mission, whats your name is? what? you want me naked? if you liking this position you can tape it  on your video phone uh uh hustler keep on talkin uh uh you like the way its popping? uh uh youre saying that you want b? press ""record"", baby, film me  on your video phone make a cameo tape me on your video phone i can handle you watch me on your video phone on your video, video if you want me you can watch me on your video phone"
46,blow,"[intro:] i love your face you love the taste that sugar babe, it melts away  [verse 1:] i kiss you when you lick your lips, (i kiss you and you lick your lips) you like it wet and so do i, (you like it wet and so do i) no you never waste a drip, (no you never waste a drip) i wonder how it feels sometimes must be good to you  [pre-hook:] (keep me coming, keep me going), keep me coming, keep me going (keep me humming, keep me moaning), keep me humming, keep me moaning (non-stop love until the morning), non-stop love until the morning (non-stop screaming, freakin, blowin) blow-o-o  [hook:] can you eat my skittles its the sweetest in the middle pink is the flavor solve the riddle  im a lean back dont worry its nothing major make sure you clean that its the only way to get the flavor  [verse 2:] when youre thirsty and need love i give it up till im empty baby must be good to you if youre lonely in your bed, ill fill it up to the top, baby must be good to you  [pre-hook]  [hook]  im about to get into this girls, this is for all my grown women out there  [bridge:] i cant wait till i get home so you can tear that cherry out, (turn that cherry out, turn that cherry out) i cant wait till i get home so you can tear that cherry out, (turn that cherry out, turn that cherry out) i want you to (turn that cherry out, turn that cherry out) i want you to (turn that cherry out, turn that cherry out) i want you to (turn that cherry out, turn that cherry out) i want you to (turn that cherry out, turn that cherry out)  [verse 3:] ooh i had a naughty thought today baby every time i close my eyes ooh get a glimpse of this candy paint dont slip off when it drip off on top of your ride you see it here, lift it up toss it babe i know everything you want im a show you how i stroke (stroke it) bring your work home on top of me im a let you be the boss of me i know everything you want give me that daddy long stroke  [bridge]  je ne sais quoi chã©ri, mvlew aswe a, se net al kole  [pre-hook]  [outro hook]"
47,bewithyou,ooh baby i love the way you make me feel it slows down time come in my bedroom and turn off the lights  you whisper softly in my ear makes me unwind the way you touch me lets me know youre mine  id rather be with you because i love the way you scream my name and theres no other man that gives me what i want and makes me feel this way id rather be with you because you hustle hard to take care of me id rather be with you boy id rather be with you  i love the way you look at me stare into my eyes what do they say to you boy dont be shy tonights the night your fantasies will all come true i am your woman i belong to you  there is nothing i wont do for you i know my soul connected me to you i feel so safe when im alone with you im holding back nothin saving it all for you baby i love making love to you its like a high i cant come down from you  id rather be with you because i love the way you scream my name and theres no other man that gives me what i want and makes me feel this way id rather be with you because you hustle hard to take care of me id rather be with you boy id rather be with you  id rather be with you oh yea boy i rather be with you id rather be with you oh yea boy i rather be with you   id rather be with you because i love the way you scream my name and theres no other man that gives me what i want and makes me feel this way id rather be with you because you hustle hard to take care of me id rather be with you boy id rather be with you  i dont want nobody else i aint goin no where im happy with you you got me baby i aint thinking about nobody else but you baby
48,listen,"listen to the song here in my heart a melody i start but cant complete  listen to the sound from deep within its only beginning to find release  oh, the time has come for my dreams to be heard they will not be pushed aside and turned into your own all cause you wont listen  listen i am alone at a crossroads im not at home in my own home and ive tried and tried to say whats on my mind you should have known  oh, now im done believing you you dont know what im feeling im more than what you made of me i followed the voice you gave to me but now i gotta find my own  you should have listened there is someone here inside someone i thought had died so long ago  oh, im screaming out, and my dreams will be heard they will not be pushed aside or worse into your own all cause you wont listen  listen i am alone at a crossroads im not at home in my own home and ive tried and tried to say whats on my mind you should have known  oh, now im done believing you you dont know what im feeling im more than what you made of me i followed the voice you gave to me but now i gotta find my own  i dont know where i belong but ill be moving on if you dont if you wont  listen to the song here in my heart a melody i start but i will complete  oh, now im done believing you you dont know what im feeling im more than what youve made of me i followed the voice you think you gave to me but now i gotta find my own my own"
49,siyofueraunchico,"si yo fuera un chico, sã³lo por una vez yo me vestirã­a como quiero, con lo que vea primero y me voy. saldrã­a a buscar chicas por montã³n mis amigos que son leales siempre van a acompaã±arme hasta el fin cada noche a mentir.  si yo fuera un chico sã© que podrã­a saber comprender mucho mejor lo que es amar a una mujer sabrã­a escuchar pues conozco el dolor de perder a quien se quiere porque ignoras lo que tienes y quedas sin saber que pasã³  si yo fuera un chico pero ves no lo soy los chicos son de un molde y nosotras somos de corazã³n se piensan que son los del sexo superior pero cuando lo queremos nos vence nuestra seducciã³n  si yo fuera un chico sã© que podrã­a saber comprender mucho mejor lo que es amar a una mujer sabrã­a escuchar pues conozco el dolor de perder a quien se quiere porque ignoras lo que tienes y quedas sin saber que pasã³  es muy tarde ya ves para regresar perdonarte otra vez ya no lo vas a lograr el lugar que ocupabas tãº, ya no estã¡ mã¡s.  pero eres un chico que le vas a hacer no puedes comprender que se siente al comprender mejor y amar en serio a una mujer no sabes escuchar no te importa el dolor hasta que pierdes a quien quieres porque ignoras lo que tienes y quedas sin saber que pasã³  pero eres un chico."
50,tilltheendoftime,"come take my hand i wont let you go ill be your friend i will love you so deeply i will be the one to kiss you at night i will love you until the end of time  ill be your baby now promise not to let you go love you like crazy now say youll never let me go say youll never let me go (say) say youll never let me go say youll never let me go (say) say youll never let me go  take you away from here theres nothing between us but space and time ill be your own little star let me shine in your world in your own little universe make me your girl  come take my hand i wont let you go ill be your friend i will love you so deeply i will be the one to kiss you at night (kiss you at night) i will love you until the end of time  ill be your baby now promise not to let you go love you like crazy now say youll never let me go say youll never let me go (say) say youll never let me go say youll never let me go (say) say youll never let me go  baby, come on get up on it show me that you really want it i wanna be the one to love you baby, lets go (ohhhhh hooo ohhhh) lets go (ohhhhh hooo ohhhh)  i wanna provide this loving that youre giving i aint frontin in this love can you let me love you from your head to toe? (ohhhhh hooo ohhhh) baby, lets go (ohhhhh hooo ohhhh)  boy come to me (come to me) let me turn your rain into sun (come to me baby) you dont have to worry baby (oh no) i promise ill set your heart free and my love into your soul you go i go we go thats all she wrote  say youll say say say youll ne-never [x4]  cant you see me? i just wanna love you cant you feel me babe? i just wanna be with you i just wanna live for you ill never let you go free your love to me  come take my hand i wont let you go ill be your friend i will love you so deeply i will be the one to kiss you at night (at night) i will love you until the end of time  i will be your baby now promise not to let you go love you like crazy now say youll never let me go say youll never let me go (say) say youll never let me go say youll never let me go (say) say youll never let me go"
